Year,Venue,Title,Authors,DOI,Citations
2025,IJRNC,High‐Order Predictive Extended State Observer Based Anti‐Disturbance Control for Input‐Delayed Systems Subject to Multi‐Source Disturbances,Shoulin Hao; Tao Liu; Wojciech Paszke; Qing‐Guo Wang,https://doi.org/10.1002/rnc.70065,1
2025,JFI,Lyapunov-based stochastic model predictive control of stochastic nonlinear systems with input-delay using multi-dimensional Taylor network,Xiao‐Yi Zheng; Hong‐Sen Yan,https://doi.org/10.1016/j.jfranklin.2025.107694,1
2025,T-IE,Suppression of Disturbances and Packet Losses in Networked Control Systems: A Data-Prediction Equivalent-Input-Disturbance Approach,Guangpu Huang; Lilin Liu; Wenjie Lin; Xiang Wu; Fanghong Guo,https://doi.org/10.1109/tie.2025.3629344,1
2025,T-II,Spatio-Temporal Feature Extraction for Predicting Large-Scale Train Delay Propagation in High-Speed Railway Networks,Xingtang Wu; Shuai Chen; Fang Fang; Min Zhou; Jiawei Nian,https://doi.org/10.1109/tii.2025.3593969,1
2025,T-II,Analysis of Model Free Predictors for Interface Signal Delay Compensation in Real-Time Cosimulation,Elutunji Buraimoh; Gökhan Özkan; Laxman Timilsina; Grace Muriithi; Behnaz Papari,https://doi.org/10.1109/tii.2025.3528548,1
2026,T-II,Multifrequency Decoupling Network With Dual-Stage Shift Segmental Modeling for Long-Term Prediction of Industrial Parameters,Changyao Lv; Xiaofeng Zhou; Guoliang Hu; Shuai Li; Shurui Liu,https://doi.org/10.1109/tii.2025.3650225,1
2000,T-AES,RLS-based predictor for latency compensation in DGPS,K. Deergha Rao,https://doi.org/10.1109/7.826341,1
2025,T-AES,Optimizing Ionospheric Semivariograms With Variable Correlation Parameters and Modeling Spatial Threats With Multiple Metrics for China Region,Hongwen Wang; Kun Fang; Zhipeng Wang; Xiaowei Lan; Xiaopeng Hou,https://doi.org/10.1109/taes.2025.3554152,1
2024,T-ITS,Heterogeneous Machine Learning Ensembles for Predicting Train Delays,Mostafa Al Ghamdi; Gerard Parr; Wenjia Wang,https://doi.org/10.1109/tits.2023.3337858,1
2025,T-ITS,Event-Triggered Tube-DMPC With Shrinking Ingredients for Vehicle Platoon Under Disturbance and Communication Delay,Qianyue Luo; James Lam,https://doi.org/10.1109/tits.2025.3561134,1
2025,T-ITS,Dynamic Spatial-Temporal Graph Convolutional Neural Networks Approach for Active Mode Traffic Prediction,Xiamei Wen; Panchamy Krishnakumari; Serge Hoogendoorn,https://doi.org/10.1109/tits.2025.3577742,1
2025,T-ITS,Distributed MPC for Virtually Coupled Train Set Subject to Safety Constraints With Communication Delays,Xiaolin Luo; Tao Tang; Hongjie Liu; Wei Ren,https://doi.org/10.1109/tits.2025.3587277,1
